post_id,timestamp,platform,post_text,likes,comments,shares,views,hashtags,sentiment
43,2024-08-11 18:03:00,Facebook,Post number 42 is about something interesting!,416,24,28,878,#life,neutral
44,2024-09-12 06:31:00,Instagram,Post number 43 is about something interesting!,145,32,38,394,#life,neutral
45,2024-09-25 09:47:00,Twitter,Post number 44 is about something interesting!,282,93,10,439,#news,neutral
46,2024-11-17 03:37:00,Twitter,Post number 45 is about something interesting!,139,51,44,284,"#fun,#trend",neutral
47,2024-03-08 10:48:00,Twitter,Post number 46 is about something interesting!,241,26,28,391,"#trend,#news",neutral
48,2024-05-26 09:38:00,Twitter,Post number 47 is about something interesting!,292,35,29,499,"#news,#life",negative
49,2024-05-16 02:19:00,Twitter,Post number 48 is about something interesting!,14,5,2,30,#fun,positive
50,2024-09-28 15:17:00,Facebook,Post number 49 is about something interesting!,167,44,36,339,"#life,#trend",neutral
51,2024-09-13 06:19:00,Twitter,Post number 50 is about something interesting!,117,26,26,194,#life,negative
52,2024-04-06 18:49:00,Twitter,Post number 51 is about something interesting!,363,73,47,817,"#trend,#news",negative
53,2024-03-22 14:21:00,Twitter,Post number 52 is about something interesting!,23,5,29,64,#news,neutral
54,2024-10-19 18:20:00,Instagram,Post number 53 is about something interesting!,471,67,4,1362,"#news,#trend",neutral
55,2024-09-25 04:35:00,Facebook,Post number 54 is about something interesting!,5,49,3,7,#fun,positive
56,2024-07-16 22:23:00,Twitter,Post number 55 is about something interesting!,239,8,41,406,#fun,neutral
57,2024-10-07 06:30:00,Facebook,Post number 56 is about something interesting!,149,33,20,262,#trend,neutral
58,2024-07-14 16:43:00,Instagram,Post number 57 is about something interesting!,7,81,1,15,#news,positive
59,2024-03-05 22:46:00,Twitter,Post number 58 is about something interesting!,408,0,5,747,"#fun,#life",negative
60,2024-10-12 03:19:00,Instagram,Post number 59 is about something interesting!,231,24,47,460,"#trend,#news",neutral
61,2024-10-04 02:19:00,Twitter,Post number 60 is about something interesting!,387,70,28,1040,"#life,#fun",negative
62,2024-02-24 16:16:00,Instagram,Post number 61 is about something interesting!,317,87,24,514,"#trend,#news",positive
63,2024-02-29 15:22:00,Twitter,Post number 62 is about something interesting!,411,73,24,811,"#trend,#fun",negative
64,2024-02-17 09:34:00,Instagram,Post number 63 is about something interesting!,62,52,28,119,"#fun,#news",neutral
65,2024-08-21 09:06:00,Facebook,Post number 64 is about something interesting!,294,5,39,501,#trend,positive
66,2024-02-06 12:18:00,Instagram,Post number 65 is about something interesting!,225,22,5,455,#news,positive
67,2024-06-04 09:15:00,Twitter,Post number 66 is about something interesting!,120,59,19,245,#life,neutral
68,2024-07-25 19:37:00,Facebook,Post number 67 is about something interesting!,301,61,41,705,#trend,negative
69,2024-10-09 21:06:00,Instagram,Post number 68 is about something interesting!,92,38,19,273,#trend,positive
70,2024-03-10 21:04:00,Facebook,Post number 69 is about something interesting!,348,25,30,931,"#fun,#trend",neutral
71,2024-09-03 10:06:00,Facebook,Post number 70 is about something interesting!,288,44,23,597,"#fun,#life",positive
72,2024-09-13 20:58:00,Facebook,Post number 71 is about something interesting!,151,37,36,329,#trend,negative
73,2024-11-10 10:48:00,Twitter,Post number 72 is about something interesting!,325,57,39,936,#trend,negative
74,2024-01-31 01:11:00,Twitter,Post number 73 is about something interesting!,250,44,24,401,"#fun,#news",positive
75,2024-04-27 17:00:00,Twitter,Post number 74 is about something interesting!,90,71,33,137,"#news,#fun",positive
76,2024-03-02 17:36:00,Twitter,Post number 75 is about something interesting!,431,74,5,1122,#news,negative
77,2024-10-05 16:10:00,Twitter,Post number 76 is about something interesting!,206,90,2,609,#life,neutral
78,2024-08-09 17:52:00,Twitter,Post number 77 is about something interesting!,317,40,0,778,#trend,positive
79,2024-06-16 05:46:00,Twitter,Post number 78 is about something interesting!,427,15,43,880,"#life,#fun",negative
80,2024-07-27 10:01:00,Instagram,Post number 79 is about something interesting!,469,43,13,786,"#news,#fun",negative
81,2024-12-07 20:00:00,Twitter,Post number 80 is about something interesting!,342,10,1,786,"#life,#trend",positive
82,2024-08-27 09:17:00,Twitter,Post number 81 is about something interesting!,261,3,8,721,#news,neutral
83,2024-11-09 13:27:00,Twitter,Post number 82 is about something interesting!,240,16,16,361,#life,negative
84,2024-07-31 16:48:00,Facebook,Post number 83 is about something interesting!,357,6,20,1028,"#trend,#news",neutral
85,2024-10-09 22:28:00,Facebook,Post number 84 is about something interesting!,463,86,41,1312,#life,neutral
86,2024-12-01 11:14:00,Twitter,Post number 85 is about something interesting!,334,16,47,638,"#trend,#fun",neutral
87,2024-11-28 13:07:00,Twitter,Post number 86 is about something interesting!,395,17,14,700,#fun,positive
88,2024-09-21 01:56:00,Facebook,Post number 87 is about something interesting!,197,9,5,490,"#fun,#life",neutral
89,2024-12-13 13:25:00,Instagram,Post number 88 is about something interesting!,153,43,1,304,#fun,positive
90,2024-01-21 02:07:00,Instagram,Post number 89 is about something interesting!,404,88,0,836,#news,negative
91,2024-05-15 03:47:00,Twitter,Post number 90 is about something interesting!,75,70,31,178,#news,positive
92,2024-04-10 00:57:00,Twitter,Post number 91 is about something interesting!,397,99,8,1060,#news,neutral
93,2024-12-25 19:03:00,Twitter,Post number 92 is about something interesting!,470,57,40,1055,"#life,#trend",positive
94,2024-04-29 16:45:00,Facebook,Post number 93 is about something interesting!,443,68,11,1212,#life,neutral
95,2024-02-08 09:01:00,Twitter,Post number 94 is about something interesting!,282,44,13,550,"#trend,#fun",neutral
96,2024-04-13 19:44:00,Facebook,Post number 95 is about something interesting!,16,51,44,38,"#fun,#trend",negative
97,2024-07-05 07:33:00,Facebook,Post number 96 is about something interesting!,430,72,8,829,#life,neutral
98,2024-07-14 02:14:00,Twitter,Post number 97 is about something interesting!,179,47,39,491,#news,negative
99,2024-09-21 10:34:00,Twitter,Post number 98 is about something interesting!,215,75,40,433,"#life,#trend",negative
100,2024-09-14 18:14:00,Facebook,Post number 99 is about something interesting!,185,40,23,498,#news,neutral
101,2024-05-31 12:18:00,Facebook,Post number 100 is about something interesting!,387,83,7,821,#trend,neutral
102,2024-05-19 15:54:00,Instagram,Post number 101 is about something interesting!,114,73,33,178,#news,negative
103,2024-02-23 02:56:00,Twitter,Post number 102 is about something interesting!,195,5,46,551,#fun,negative
104,2024-05-07 22:19:00,Twitter,Post number 103 is about something interesting!,275,56,24,819,"#fun,#life",negative
105,2024-07-11 09:30:00,Facebook,Post number 104 is about something interesting!,482,48,21,1437,#fun,neutral
106,2024-09-11 10:10:00,Twitter,Post number 105 is about something interesting!,9,26,7,25,#news,negative
107,2024-09-30 06:27:00,Twitter,Post number 106 is about something interesting!,311,67,15,642,#trend,positive
108,2024-09-30 14:29:00,Instagram,Post number 107 is about something interesting!,49,12,6,85,"#news,#trend",neutral
109,2024-05-08 03:34:00,Facebook,Post number 108 is about something interesting!,321,5,0,724,#fun,negative
110,2024-09-13 06:35:00,Instagram,Post number 109 is about something interesting!,62,58,21,104,#trend,negative
111,2024-10-01 19:28:00,Instagram,Post number 110 is about something interesting!,206,97,49,521,#trend,positive
112,2024-02-04 07:45:00,Facebook,Post number 111 is about something interesting!,437,49,30,743,#fun,positive
113,2024-07-11 21:34:00,Instagram,Post number 112 is about something interesting!,149,10,20,384,"#life,#fun",positive
114,2024-05-19 11:47:00,Twitter,Post number 113 is about something interesting!,35,2,21,104,"#fun,#trend",negative
115,2024-12-02 14:16:00,Facebook,Post number 114 is about something interesting!,99,99,27,212,"#fun,#trend",positive
116,2024-04-03 23:18:00,Twitter,Post number 115 is about something interesting!,10,24,13,24,"#fun,#trend",negative
117,2024-03-09 04:13:00,Facebook,Post number 116 is about something interesting!,161,11,14,305,#trend,neutral
118,2024-04-16 19:28:00,Twitter,Post number 117 is about something interesting!,317,40,9,560,#news,neutral
119,2024-02-01 06:00:00,Facebook,Post number 118 is about something interesting!,11,87,25,29,"#life,#trend",neutral
120,2024-01-11 18:33:00,Instagram,Post number 119 is about something interesting!,443,96,32,767,"#fun,#life",neutral
121,2024-08-28 00:17:00,Twitter,Post number 120 is about something interesting!,200,18,0,509,#news,negative
122,2024-07-11 20:13:00,Facebook,Post number 121 is about something interesting!,362,51,32,961,#fun,negative
123,2024-08-10 10:53:00,Twitter,Post number 122 is about something interesting!,151,98,48,345,"#fun,#life",positive
124,2024-07-23 12:49:00,Facebook,Post number 123 is about something interesting!,52,73,16,108,"#fun,#life",negative
125,2024-08-01 02:54:00,Instagram,Post number 124 is about something interesting!,154,51,32,456,#news,negative
126,2024-01-12 21:08:00,Twitter,Post number 125 is about something interesting!,144,42,24,265,#news,negative
127,2024-02-29 18:09:00,Instagram,Post number 126 is about something interesting!,491,58,22,902,#life,positive
128,2024-08-26 01:02:00,Facebook,Post number 127 is about something interesting!,65,23,17,127,"#life,#fun",neutral
129,2024-03-17 01:05:00,Instagram,Post number 128 is about something interesting!,58,77,38,122,#life,positive
130,2024-07-14 08:19:00,Instagram,Post number 129 is about something interesting!,55,7,31,149,"#fun,#life",positive
131,2024-03-20 17:17:00,Twitter,Post number 130 is about something interesting!,284,82,15,837,#life,positive
132,2024-01-24 21:24:00,Instagram,Post number 131 is about something interesting!,61,54,18,150,"#fun,#life",neutral
133,2024-09-23 23:24:00,Instagram,Post number 132 is about something interesting!,432,14,10,1167,"#fun,#news",positive
134,2024-11-28 16:36:00,Twitter,Post number 133 is about something interesting!,348,62,25,551,"#trend,#fun",neutral
135,2024-09-05 01:53:00,Twitter,Post number 134 is about something interesting!,435,8,35,698,"#fun,#news",neutral
136,2024-05-03 08:19:00,Facebook,Post number 135 is about something interesting!,103,96,8,187,"#fun,#life",neutral
137,2024-04-22 03:18:00,Twitter,Post number 136 is about something interesting!,68,81,4,186,"#news,#life",negative
138,2024-10-03 13:05:00,Facebook,Post number 137 is about something interesting!,222,95,6,548,#life,neutral
139,2024-02-08 05:20:00,Facebook,Post number 138 is about something interesting!,273,52,42,805,"#life,#news",neutral
140,2024-09-01 19:40:00,Facebook,Post number 139 is about something interesting!,449,51,13,1054,#news,positive
141,2024-07-12 14:43:00,Twitter,Post number 140 is about something interesting!,406,39,45,1052,#life,positive
142,2024-02-17 21:37:00,Instagram,Post number 141 is about something interesting!,388,88,45,1093,#trend,positive
143,2024-08-08 10:03:00,Facebook,Post number 142 is about something interesting!,437,29,24,1124,"#news,#life",neutral
144,2024-04-14 12:59:00,Facebook,Post number 143 is about something interesting!,250,50,19,658,"#news,#fun",positive
145,2024-05-12 13:55:00,Instagram,Post number 144 is about something interesting!,248,75,22,455,#news,neutral
146,2024-10-26 09:37:00,Facebook,Post number 145 is about something interesting!,161,65,43,478,#life,positive
147,2024-07-22 14:14:00,Facebook,Post number 146 is about something interesting!,195,97,43,310,"#fun,#life",neutral
148,2024-10-17 00:15:00,Facebook,Post number 147 is about something interesting!,80,94,27,168,#life,negative
149,2024-03-21 16:27:00,Instagram,Post number 148 is about something interesting!,338,72,46,921,#life,positive
150,2024-01-16 11:44:00,Facebook,Post number 149 is about something interesting!,126,7,9,264,#life,neutral
151,2024-02-27 18:11:00,Twitter,Post number 150 is about something interesting!,303,39,30,684,"#trend,#fun",negative
152,2024-08-15 21:20:00,Facebook,Post number 151 is about something interesting!,92,71,32,197,#life,positive
153,2024-05-27 01:36:00,Twitter,Post number 152 is about something interesting!,15,18,6,41,"#news,#life",positive
154,2024-10-15 00:00:00,Instagram,Post number 153 is about something interesting!,153,57,22,376,#trend,negative
155,2024-05-22 20:58:00,Facebook,Post number 154 is about something interesting!,482,78,22,1221,#fun,positive
156,2024-09-13 21:38:00,Twitter,Post number 155 is about something interesting!,90,7,17,186,#life,neutral
157,2024-09-26 22:14:00,Instagram,Post number 156 is about something interesting!,55,10,7,91,"#news,#trend",neutral
158,2024-05-16 01:20:00,Facebook,Post number 157 is about something interesting!,14,39,23,36,#trend,positive
159,2024-01-24 14:32:00,Facebook,Post number 158 is about something interesting!,136,3,12,273,#life,negative
160,2024-02-17 21:36:00,Instagram,Post number 159 is about something interesting!,163,85,42,467,#fun,negative
161,2024-06-15 05:53:00,Instagram,Post number 160 is about something interesting!,234,77,33,563,"#trend,#life",negative
162,2024-08-12 12:25:00,Instagram,Post number 161 is about something interesting!,439,99,41,906,#trend,positive
163,2024-06-09 22:35:00,Instagram,Post number 162 is about something interesting!,26,51,36,70,"#trend,#fun",negative
164,2024-03-15 05:49:00,Twitter,Post number 163 is about something interesting!,193,16,19,443,#life,positive
165,2024-07-09 22:54:00,Facebook,Post number 164 is about something interesting!,460,9,9,996,#fun,positive
166,2024-12-01 05:50:00,Facebook,Post number 165 is about something interesting!,361,20,0,730,#fun,negative
167,2024-02-27 17:52:00,Instagram,Post number 166 is about something interesting!,171,85,11,339,"#life,#news",positive
168,2024-05-15 17:17:00,Facebook,Post number 167 is about something interesting!,452,79,4,1258,"#fun,#news",negative
169,2024-05-13 20:05:00,Twitter,Post number 168 is about something interesting!,19,27,39,47,#life,positive
170,2024-05-15 03:17:00,Instagram,Post number 169 is about something interesting!,265,88,12,548,"#life,#news",negative
171,2024-12-15 14:20:00,Facebook,Post number 170 is about something interesting!,394,68,13,1017,"#life,#news",negative
172,2024-07-15 07:56:00,Facebook,Post number 171 is about something interesting!,401,24,4,1170,"#life,#news",negative
173,2024-01-05 03:56:00,Twitter,Post number 172 is about something interesting!,349,44,6,699,#trend,neutral
174,2024-06-24 06:01:00,Instagram,Post number 173 is about something interesting!,29,1,17,45,#fun,neutral
175,2024-04-23 00:58:00,Facebook,Post number 174 is about something interesting!,449,14,43,1001,#trend,neutral
176,2024-01-25 11:17:00,Instagram,Post number 175 is about something interesting!,474,94,38,1123,#trend,negative
177,2024-09-16 23:55:00,Facebook,Post number 176 is about something interesting!,260,67,6,557,"#trend,#life",positive
178,2024-02-07 05:18:00,Twitter,Post number 177 is about something interesting!,43,51,0,95,"#fun,#trend",negative
179,2024-04-06 01:43:00,Twitter,Post number 178 is about something interesting!,129,8,49,360,"#trend,#news",positive
180,2024-12-25 22:07:00,Facebook,Post number 179 is about something interesting!,236,0,11,441,#trend,positive
181,2024-11-17 10:48:00,Instagram,Post number 180 is about something interesting!,270,5,37,624,"#fun,#news",positive
182,2024-03-07 05:25:00,Facebook,Post number 181 is about something interesting!,71,73,13,196,"#life,#trend",positive
183,2024-07-21 17:09:00,Facebook,Post number 182 is about something interesting!,205,3,28,313,"#life,#trend",neutral
184,2024-08-04 15:10:00,Twitter,Post number 183 is about something interesting!,249,9,8,390,#news,neutral
185,2024-07-01 11:46:00,Twitter,Post number 184 is about something interesting!,420,83,22,678,#fun,negative
186,2024-06-08 01:00:00,Facebook,Post number 185 is about something interesting!,380,18,26,659,#news,neutral
187,2024-09-06 07:19:00,Twitter,Post number 186 is about something interesting!,165,78,40,309,"#trend,#fun",negative
188,2024-07-21 10:58:00,Instagram,Post number 187 is about something interesting!,140,72,46,238,#news,positive
189,2024-10-31 04:13:00,Twitter,Post number 188 is about something interesting!,183,60,12,468,"#life,#fun",positive
190,2024-05-23 20:45:00,Facebook,Post number 189 is about something interesting!,280,27,4,698,#trend,negative
191,2024-08-08 05:26:00,Instagram,Post number 190 is about something interesting!,359,0,27,808,"#life,#fun",positive
192,2024-07-28 11:25:00,Facebook,Post number 191 is about something interesting!,423,23,37,978,"#trend,#news",neutral
193,2024-03-15 09:11:00,Facebook,Post number 192 is about something interesting!,398,92,2,1013,#news,negative
194,2024-03-08 00:54:00,Twitter,Post number 193 is about something interesting!,0,44,32,0,#news,neutral
195,2024-06-06 19:41:00,Twitter,Post number 194 is about something interesting!,88,83,36,211,#trend,neutral
196,2024-01-31 13:06:00,Twitter,Post number 195 is about something interesting!,105,82,1,173,#trend,negative
197,2024-02-23 18:39:00,Twitter,Post number 196 is about something interesting!,328,30,9,879,#life,positive
198,2024-07-23 07:51:00,Twitter,Post number 197 is about something interesting!,271,16,7,577,"#news,#life",neutral
199,2024-07-17 07:31:00,Facebook,Post number 198 is about something interesting!,108,92,1,283,"#news,#life",positive
200,2024-02-24 16:24:00,Facebook,Post number 199 is about something interesting!,167,21,28,385,#trend,negative
201,2024-01-26 23:59:00,Twitter,Post number 200 is about something interesting!,322,16,1,526,#life,negative
202,2024-12-14 14:41:00,Instagram,Post number 201 is about something interesting!,125,14,41,362,"#news,#life",negative
203,2024-09-20 03:00:00,Facebook,Post number 202 is about something interesting!,177,85,24,396,"#fun,#life",neutral
204,2024-12-28 23:28:00,Facebook,Post number 203 is about something interesting!,187,15,48,520,"#news,#fun",negative
205,2024-10-07 21:33:00,Twitter,Post number 204 is about something interesting!,447,39,23,809,#fun,neutral
206,2024-10-07 07:28:00,Facebook,Post number 205 is about something interesting!,126,39,46,262,#news,positive
207,2024-11-24 00:24:00,Twitter,Post number 206 is about something interesting!,192,43,11,323,"#news,#fun",positive
208,2024-07-29 13:05:00,Twitter,Post number 207 is about something interesting!,71,12,26,170,#news,positive
209,2024-01-28 12:20:00,Instagram,Post number 208 is about something interesting!,333,51,8,687,#life,negative
210,2024-05-01 04:21:00,Instagram,Post number 209 is about something interesting!,231,17,40,355,#life,positive
211,2024-12-02 11:43:00,Instagram,Post number 210 is about something interesting!,422,82,44,1024,#fun,positive
212,2024-10-23 20:58:00,Facebook,Post number 211 is about something interesting!,413,50,24,1109,#trend,negative
213,2024-11-12 19:06:00,Facebook,Post number 212 is about something interesting!,339,34,19,771,"#news,#trend",positive
214,2024-08-27 05:32:00,Facebook,Post number 213 is about something interesting!,277,75,42,652,#life,neutral
215,2024-12-21 16:18:00,Twitter,Post number 214 is about something interesting!,401,40,41,1159,#news,neutral
216,2024-11-04 18:56:00,Instagram,Post number 215 is about something interesting!,374,80,21,914,#life,positive
217,2024-09-04 20:03:00,Twitter,Post number 216 is about something interesting!,403,55,3,819,"#news,#trend",neutral
218,2024-06-21 00:04:00,Instagram,Post number 217 is about something interesting!,353,57,40,955,"#life,#trend",positive
219,2024-01-25 01:38:00,Instagram,Post number 218 is about something interesting!,315,21,31,750,"#news,#trend",positive
220,2024-11-28 00:23:00,Twitter,Post number 219 is about something interesting!,314,56,20,500,#fun,negative
221,2024-01-28 17:03:00,Twitter,Post number 220 is about something interesting!,495,65,46,953,#trend,neutral
222,2024-12-04 16:16:00,Twitter,Post number 221 is about something interesting!,420,67,14,1130,"#fun,#trend",neutral
223,2024-06-02 09:14:00,Twitter,Post number 222 is about something interesting!,245,44,27,665,#news,positive
224,2024-10-02 02:50:00,Twitter,Post number 223 is about something interesting!,248,93,4,685,#trend,negative
225,2024-04-07 18:42:00,Facebook,Post number 224 is about something interesting!,255,5,22,479,"#news,#trend",positive
226,2024-10-22 22:19:00,Instagram,Post number 225 is about something interesting!,181,69,13,459,#fun,negative
227,2024-07-30 18:29:00,Facebook,Post number 226 is about something interesting!,206,42,46,493,"#trend,#life",negative
228,2024-06-16 18:29:00,Facebook,Post number 227 is about something interesting!,60,31,15,107,"#news,#life",positive
229,2024-03-22 18:40:00,Facebook,Post number 228 is about something interesting!,362,75,21,1019,#fun,positive
230,2024-03-12 02:18:00,Instagram,Post number 229 is about something interesting!,286,76,1,488,#trend,negative
231,2024-12-22 11:42:00,Facebook,Post number 230 is about something interesting!,265,62,42,398,"#trend,#life",neutral
232,2024-07-03 01:50:00,Instagram,Post number 231 is about something interesting!,85,19,15,225,#fun,neutral
233,2024-04-16 18:07:00,Facebook,Post number 232 is about something interesting!,382,32,16,759,#fun,negative
234,2024-07-22 03:00:00,Facebook,Post number 233 is about something interesting!,190,26,9,437,"#fun,#life",negative
235,2024-01-30 23:12:00,Twitter,Post number 234 is about something interesting!,229,91,15,498,"#fun,#news",negative
236,2024-11-01 16:59:00,Twitter,Post number 235 is about something interesting!,116,14,10,247,#trend,neutral
237,2024-02-18 10:57:00,Facebook,Post number 236 is about something interesting!,289,30,39,751,"#news,#life",positive
238,2024-08-15 18:11:00,Twitter,Post number 237 is about something interesting!,20,77,7,55,"#news,#trend",neutral
239,2024-05-24 02:19:00,Facebook,Post number 238 is about something interesting!,224,96,21,360,#life,negative
240,2024-08-02 19:54:00,Instagram,Post number 239 is about something interesting!,256,31,43,433,"#fun,#life",neutral
241,2024-04-17 05:23:00,Twitter,Post number 240 is about something interesting!,320,64,15,649,#news,positive
242,2024-04-03 08:26:00,Instagram,Post number 241 is about something interesting!,157,75,7,249,#fun,neutral
243,2024-09-26 02:31:00,Twitter,Post number 242 is about something interesting!,280,94,14,811,"#news,#trend",negative
244,2024-08-23 14:58:00,Facebook,Post number 243 is about something interesting!,59,52,31,147,#life,positive
245,2024-12-14 19:51:00,Twitter,Post number 244 is about something interesting!,467,14,46,1136,"#trend,#fun",positive
246,2024-09-04 20:27:00,Instagram,Post number 245 is about something interesting!,169,26,6,262,"#life,#news",positive
247,2024-10-05 06:31:00,Twitter,Post number 246 is about something interesting!,289,29,8,567,"#life,#news",negative
248,2024-02-06 19:17:00,Facebook,Post number 247 is about something interesting!,451,85,9,769,#fun,negative
249,2024-03-19 17:38:00,Facebook,Post number 248 is about something interesting!,130,39,33,270,#fun,neutral
250,2024-05-02 18:10:00,Twitter,Post number 249 is about something interesting!,191,62,4,382,"#fun,#life",neutral
251,2024-04-30 01:22:00,Facebook,Post number 250 is about something interesting!,167,62,17,486,"#fun,#news",neutral
252,2024-05-13 06:39:00,Facebook,Post number 251 is about something interesting!,239,66,20,649,"#life,#news",positive
253,2024-05-29 06:11:00,Facebook,Post number 252 is about something interesting!,445,22,48,999,"#life,#news",negative
254,2024-06-28 14:27:00,Facebook,Post number 253 is about something interesting!,433,9,1,1293,"#life,#fun",positive
255,2024-09-16 09:28:00,Instagram,Post number 254 is about something interesting!,423,59,9,1177,"#trend,#fun",positive
256,2024-05-20 07:30:00,Facebook,Post number 255 is about something interesting!,426,65,15,1166,"#news,#trend",negative
257,2024-02-16 21:15:00,Facebook,Post number 256 is about something interesting!,271,26,6,699,"#fun,#trend",negative
258,2024-02-02 17:23:00,Instagram,Post number 257 is about something interesting!,207,48,45,410,#fun,positive
259,2024-04-27 12:42:00,Twitter,Post number 258 is about something interesting!,155,29,44,340,#news,neutral
260,2024-06-04 11:41:00,Instagram,Post number 259 is about something interesting!,391,38,16,664,#fun,negative
261,2024-02-05 11:41:00,Instagram,Post number 260 is about something interesting!,79,33,38,119,#life,positive
262,2024-04-01 10:53:00,Instagram,Post number 261 is about something interesting!,476,49,31,1177,#life,positive
263,2024-04-17 22:23:00,Instagram,Post number 262 is about something interesting!,397,91,48,711,"#news,#life",neutral
264,2024-07-12 04:41:00,Twitter,Post number 263 is about something interesting!,36,55,45,79,#life,neutral
265,2024-03-16 02:39:00,Facebook,Post number 264 is about something interesting!,353,41,41,755,"#life,#news",neutral
266,2024-01-27 03:50:00,Facebook,Post number 265 is about something interesting!,165,97,49,472,"#trend,#life",positive
267,2024-10-01 20:19:00,Twitter,Post number 266 is about something interesting!,488,67,13,1345,#trend,positive
268,2024-04-06 00:21:00,Facebook,Post number 267 is about something interesting!,7,75,43,11,"#trend,#news",negative
269,2024-05-05 22:04:00,Facebook,Post number 268 is about something interesting!,215,88,33,526,#news,positive
270,2024-04-17 03:30:00,Twitter,Post number 269 is about something interesting!,429,2,10,1159,"#trend,#life",negative
271,2024-08-09 04:52:00,Facebook,Post number 270 is about something interesting!,256,94,38,755,#life,positive
272,2024-12-02 03:40:00,Instagram,Post number 271 is about something interesting!,43,93,16,117,"#fun,#life",positive
