post_id,timestamp,platform,post_text,likes,comments,shares,views,hashtags,sentiment,engagement_rate,post_text_length,hashtag_count,hour_of_day,day_of_week,month
45,2024-09-25 09:47:00,Twitter,post number 44 is about something interesting,282,93,10,439,#news,neutral,0.876993166287016,45,1,9,Wednesday,9
46,2024-11-17 03:37:00,Twitter,post number 45 is about something interesting,139,51,44,284,"#fun,#trend",neutral,0.823943661971831,45,2,3,Sunday,11
47,2024-03-08 10:48:00,Twitter,post number 46 is about something interesting,241,26,28,391,"#trend,#news",neutral,0.7544757033248082,45,2,10,Friday,3
48,2024-05-26 09:38:00,Twitter,post number 47 is about something interesting,292,35,29,499,"#news,#life",negative,0.7134268537074149,45,2,9,Sunday,5
49,2024-05-16 02:19:00,Twitter,post number 48 is about something interesting,14,5,2,30,#fun,positive,0.7,45,1,2,Thursday,5
50,2024-09-28 15:17:00,Facebook,post number 49 is about something interesting,167,44,36,339,"#life,#trend",neutral,0.7286135693215339,45,2,15,Saturday,9
51,2024-09-13 06:19:00,Twitter,post number 50 is about something interesting,117,26,26,194,#life,negative,0.8711340206185567,45,1,6,Friday,9
52,2024-04-06 18:49:00,Twitter,post number 51 is about something interesting,363,73,47,817,"#trend,#news",negative,0.591187270501836,45,2,18,Saturday,4
53,2024-03-22 14:21:00,Twitter,post number 52 is about something interesting,23,5,29,64,#news,neutral,0.890625,45,1,14,Friday,3
54,2024-10-19 18:20:00,Instagram,post number 53 is about something interesting,471,67,4,1362,"#news,#trend",neutral,0.39794419970631423,45,2,18,Saturday,10
55,2024-09-25 04:35:00,Facebook,post number 54 is about something interesting,5,49,3,7,#fun,positive,8.142857142857142,45,1,4,Wednesday,9
56,2024-07-16 22:23:00,Twitter,post number 55 is about something interesting,239,8,41,406,#fun,neutral,0.7093596059113301,45,1,22,Tuesday,7
57,2024-10-07 06:30:00,Facebook,post number 56 is about something interesting,149,33,20,262,#trend,neutral,0.7709923664122137,45,1,6,Monday,10
58,2024-07-14 16:43:00,Instagram,post number 57 is about something interesting,7,81,1,15,#news,positive,5.933333333333334,45,1,16,Sunday,7
59,2024-03-05 22:46:00,Twitter,post number 58 is about something interesting,408,0,5,747,"#fun,#life",negative,0.5528781793842035,45,2,22,Tuesday,3
60,2024-10-12 03:19:00,Instagram,post number 59 is about something interesting,231,24,47,460,"#trend,#news",neutral,0.6565217391304348,45,2,3,Saturday,10
61,2024-10-04 02:19:00,Twitter,post number 60 is about something interesting,387,70,28,1040,"#life,#fun",negative,0.46634615384615385,45,2,2,Friday,10
62,2024-02-24 16:16:00,Instagram,post number 61 is about something interesting,317,87,24,514,"#trend,#news",positive,0.8326848249027238,45,2,16,Saturday,2
63,2024-02-29 15:22:00,Twitter,post number 62 is about something interesting,411,73,24,811,"#trend,#fun",negative,0.6263871763255241,45,2,15,Thursday,2
64,2024-02-17 09:34:00,Instagram,post number 63 is about something interesting,62,52,28,119,"#fun,#news",neutral,1.1932773109243697,45,2,9,Saturday,2
65,2024-08-21 09:06:00,Facebook,post number 64 is about something interesting,294,5,39,501,#trend,positive,0.6746506986027944,45,1,9,Wednesday,8
66,2024-02-06 12:18:00,Instagram,post number 65 is about something interesting,225,22,5,455,#news,positive,0.5538461538461539,45,1,12,Tuesday,2
67,2024-06-04 09:15:00,Twitter,post number 66 is about something interesting,120,59,19,245,#life,neutral,0.8081632653061225,45,1,9,Tuesday,6
68,2024-07-25 19:37:00,Facebook,post number 67 is about something interesting,301,61,41,705,#trend,negative,0.5716312056737589,45,1,19,Thursday,7
69,2024-10-09 21:06:00,Instagram,post number 68 is about something interesting,92,38,19,273,#trend,positive,0.5457875457875457,45,1,21,Wednesday,10
70,2024-03-10 21:04:00,Facebook,post number 69 is about something interesting,348,25,30,931,"#fun,#trend",neutral,0.43286788399570353,45,2,21,Sunday,3
71,2024-09-03 10:06:00,Facebook,post number 70 is about something interesting,288,44,23,597,"#fun,#life",positive,0.5946398659966499,45,2,10,Tuesday,9
72,2024-09-13 20:58:00,Facebook,post number 71 is about something interesting,151,37,36,329,#trend,negative,0.6808510638297872,45,1,20,Friday,9
73,2024-11-10 10:48:00,Twitter,post number 72 is about something interesting,325,57,39,936,#trend,negative,0.4497863247863248,45,1,10,Sunday,11
74,2024-01-31 01:11:00,Twitter,post number 73 is about something interesting,250,44,24,401,"#fun,#news",positive,0.7930174563591023,45,2,1,Wednesday,1
75,2024-04-27 17:00:00,Twitter,post number 74 is about something interesting,90,71,33,137,"#news,#fun",positive,1.416058394160584,45,2,17,Saturday,4
76,2024-03-02 17:36:00,Twitter,post number 75 is about something interesting,431,74,5,1122,#news,negative,0.45454545454545453,45,1,17,Saturday,3
77,2024-10-05 16:10:00,Twitter,post number 76 is about something interesting,206,90,2,609,#life,neutral,0.48932676518883417,45,1,16,Saturday,10
78,2024-08-09 17:52:00,Twitter,post number 77 is about something interesting,317,40,0,778,#trend,positive,0.4588688946015424,45,1,17,Friday,8
79,2024-06-16 05:46:00,Twitter,post number 78 is about something interesting,427,15,43,880,"#life,#fun",negative,0.5511363636363636,45,2,5,Sunday,6
80,2024-07-27 10:01:00,Instagram,post number 79 is about something interesting,469,43,13,786,"#news,#fun",negative,0.6679389312977099,45,2,10,Saturday,7
81,2024-12-07 20:00:00,Twitter,post number 80 is about something interesting,342,10,1,786,"#life,#trend",positive,0.4491094147582697,45,2,20,Saturday,12
82,2024-08-27 09:17:00,Twitter,post number 81 is about something interesting,261,3,8,721,#news,neutral,0.37725381414701803,45,1,9,Tuesday,8
83,2024-11-09 13:27:00,Twitter,post number 82 is about something interesting,240,16,16,361,#life,negative,0.7534626038781164,45,1,13,Saturday,11
84,2024-07-31 16:48:00,Facebook,post number 83 is about something interesting,357,6,20,1028,"#trend,#news",neutral,0.372568093385214,45,2,16,Wednesday,7
85,2024-10-09 22:28:00,Facebook,post number 84 is about something interesting,463,86,41,1312,#life,neutral,0.4496951219512195,45,1,22,Wednesday,10
86,2024-12-01 11:14:00,Twitter,post number 85 is about something interesting,334,16,47,638,"#trend,#fun",neutral,0.622257053291536,45,2,11,Sunday,12
87,2024-11-28 13:07:00,Twitter,post number 86 is about something interesting,395,17,14,700,#fun,positive,0.6085714285714285,45,1,13,Thursday,11
88,2024-09-21 01:56:00,Facebook,post number 87 is about something interesting,197,9,5,490,"#fun,#life",neutral,0.4306122448979592,45,2,1,Saturday,9
89,2024-12-13 13:25:00,Instagram,post number 88 is about something interesting,153,43,1,304,#fun,positive,0.6480263157894737,45,1,13,Friday,12
90,2024-01-21 02:07:00,Instagram,post number 89 is about something interesting,404,88,0,836,#news,negative,0.5885167464114832,45,1,2,Sunday,1
91,2024-05-15 03:47:00,Twitter,post number 90 is about something interesting,75,70,31,178,#news,positive,0.9887640449438202,45,1,3,Wednesday,5
92,2024-04-10 00:57:00,Twitter,post number 91 is about something interesting,397,99,8,1060,#news,neutral,0.47547169811320755,45,1,0,Wednesday,4
93,2024-12-25 19:03:00,Twitter,post number 92 is about something interesting,470,57,40,1055,"#life,#trend",positive,0.5374407582938389,45,2,19,Wednesday,12
94,2024-04-29 16:45:00,Facebook,post number 93 is about something interesting,443,68,11,1212,#life,neutral,0.4306930693069307,45,1,16,Monday,4
95,2024-02-08 09:01:00,Twitter,post number 94 is about something interesting,282,44,13,550,"#trend,#fun",neutral,0.6163636363636363,45,2,9,Thursday,2
96,2024-04-13 19:44:00,Facebook,post number 95 is about something interesting,16,51,44,38,"#fun,#trend",negative,2.9210526315789473,45,2,19,Saturday,4
97,2024-07-05 07:33:00,Facebook,post number 96 is about something interesting,430,72,8,829,#life,neutral,0.6151990349819059,45,1,7,Friday,7
98,2024-07-14 02:14:00,Twitter,post number 97 is about something interesting,179,47,39,491,#news,negative,0.539714867617108,45,1,2,Sunday,7
99,2024-09-21 10:34:00,Twitter,post number 98 is about something interesting,215,75,40,433,"#life,#trend",negative,0.7621247113163973,45,2,10,Saturday,9
100,2024-09-14 18:14:00,Facebook,post number 99 is about something interesting,185,40,23,498,#news,neutral,0.4979919678714859,45,1,18,Saturday,9
101,2024-05-31 12:18:00,Facebook,post number 100 is about something interesting,387,83,7,821,#trend,neutral,0.5809987819732034,46,1,12,Friday,5
102,2024-05-19 15:54:00,Instagram,post number 101 is about something interesting,114,73,33,178,#news,negative,1.2359550561797752,46,1,15,Sunday,5
103,2024-02-23 02:56:00,Twitter,post number 102 is about something interesting,195,5,46,551,#fun,negative,0.44646098003629764,46,1,2,Friday,2
104,2024-05-07 22:19:00,Twitter,post number 103 is about something interesting,275,56,24,819,"#fun,#life",negative,0.43345543345543347,46,2,22,Tuesday,5
105,2024-07-11 09:30:00,Facebook,post number 104 is about something interesting,482,48,21,1437,#fun,neutral,0.38343771746694505,46,1,9,Thursday,7
106,2024-09-11 10:10:00,Twitter,post number 105 is about something interesting,9,26,7,25,#news,negative,1.68,46,1,10,Wednesday,9
107,2024-09-30 06:27:00,Twitter,post number 106 is about something interesting,311,67,15,642,#trend,positive,0.6121495327102804,46,1,6,Monday,9
108,2024-09-30 14:29:00,Instagram,post number 107 is about something interesting,49,12,6,85,"#news,#trend",neutral,0.788235294117647,46,2,14,Monday,9
109,2024-05-08 03:34:00,Facebook,post number 108 is about something interesting,321,5,0,724,#fun,negative,0.45027624309392267,46,1,3,Wednesday,5
110,2024-09-13 06:35:00,Instagram,post number 109 is about something interesting,62,58,21,104,#trend,negative,1.3557692307692308,46,1,6,Friday,9
111,2024-10-01 19:28:00,Instagram,post number 110 is about something interesting,206,97,49,521,#trend,positive,0.6756238003838771,46,1,19,Tuesday,10
112,2024-02-04 07:45:00,Facebook,post number 111 is about something interesting,437,49,30,743,#fun,positive,0.6944818304172274,46,1,7,Sunday,2
113,2024-07-11 21:34:00,Instagram,post number 112 is about something interesting,149,10,20,384,"#life,#fun",positive,0.4661458333333333,46,2,21,Thursday,7
114,2024-05-19 11:47:00,Twitter,post number 113 is about something interesting,35,2,21,104,"#fun,#trend",negative,0.5576923076923077,46,2,11,Sunday,5
115,2024-12-02 14:16:00,Facebook,post number 114 is about something interesting,99,99,27,212,"#fun,#trend",positive,1.0613207547169812,46,2,14,Monday,12
116,2024-04-03 23:18:00,Twitter,post number 115 is about something interesting,10,24,13,24,"#fun,#trend",negative,1.9583333333333333,46,2,23,Wednesday,4
117,2024-03-09 04:13:00,Facebook,post number 116 is about something interesting,161,11,14,305,#trend,neutral,0.6098360655737705,46,1,4,Saturday,3
118,2024-04-16 19:28:00,Twitter,post number 117 is about something interesting,317,40,9,560,#news,neutral,0.6535714285714286,46,1,19,Tuesday,4
119,2024-02-01 06:00:00,Facebook,post number 118 is about something interesting,11,87,25,29,"#life,#trend",neutral,4.241379310344827,46,2,6,Thursday,2
120,2024-01-11 18:33:00,Instagram,post number 119 is about something interesting,443,96,32,767,"#fun,#life",neutral,0.7444589308996089,46,2,18,Thursday,1
121,2024-08-28 00:17:00,Twitter,post number 120 is about something interesting,200,18,0,509,#news,negative,0.42829076620825146,46,1,0,Wednesday,8
122,2024-07-11 20:13:00,Facebook,post number 121 is about something interesting,362,51,32,961,#fun,negative,0.4630593132154006,46,1,20,Thursday,7
123,2024-08-10 10:53:00,Twitter,post number 122 is about something interesting,151,98,48,345,"#fun,#life",positive,0.8608695652173913,46,2,10,Saturday,8
124,2024-07-23 12:49:00,Facebook,post number 123 is about something interesting,52,73,16,108,"#fun,#life",negative,1.3055555555555556,46,2,12,Tuesday,7
125,2024-08-01 02:54:00,Instagram,post number 124 is about something interesting,154,51,32,456,#news,negative,0.5197368421052632,46,1,2,Thursday,8
126,2024-01-12 21:08:00,Twitter,post number 125 is about something interesting,144,42,24,265,#news,negative,0.7924528301886793,46,1,21,Friday,1
127,2024-02-29 18:09:00,Instagram,post number 126 is about something interesting,491,58,22,902,#life,positive,0.6330376940133038,46,1,18,Thursday,2
128,2024-08-26 01:02:00,Facebook,post number 127 is about something interesting,65,23,17,127,"#life,#fun",neutral,0.8267716535433071,46,2,1,Monday,8
129,2024-03-17 01:05:00,Instagram,post number 128 is about something interesting,58,77,38,122,#life,positive,1.4180327868852458,46,1,1,Sunday,3
130,2024-07-14 08:19:00,Instagram,post number 129 is about something interesting,55,7,31,149,"#fun,#life",positive,0.6241610738255033,46,2,8,Sunday,7
131,2024-03-20 17:17:00,Twitter,post number 130 is about something interesting,284,82,15,837,#life,positive,0.4551971326164875,46,1,17,Wednesday,3
132,2024-01-24 21:24:00,Instagram,post number 131 is about something interesting,61,54,18,150,"#fun,#life",neutral,0.8866666666666667,46,2,21,Wednesday,1
133,2024-09-23 23:24:00,Instagram,post number 132 is about something interesting,432,14,10,1167,"#fun,#news",positive,0.390745501285347,46,2,23,Monday,9
134,2024-11-28 16:36:00,Twitter,post number 133 is about something interesting,348,62,25,551,"#trend,#fun",neutral,0.7894736842105263,46,2,16,Thursday,11
135,2024-09-05 01:53:00,Twitter,post number 134 is about something interesting,435,8,35,698,"#fun,#news",neutral,0.6848137535816619,46,2,1,Thursday,9
136,2024-05-03 08:19:00,Facebook,post number 135 is about something interesting,103,96,8,187,"#fun,#life",neutral,1.106951871657754,46,2,8,Friday,5
137,2024-04-22 03:18:00,Twitter,post number 136 is about something interesting,68,81,4,186,"#news,#life",negative,0.8225806451612904,46,2,3,Monday,4
138,2024-10-03 13:05:00,Facebook,post number 137 is about something interesting,222,95,6,548,#life,neutral,0.5894160583941606,46,1,13,Thursday,10
139,2024-02-08 05:20:00,Facebook,post number 138 is about something interesting,273,52,42,805,"#life,#news",neutral,0.45590062111801244,46,2,5,Thursday,2
140,2024-09-01 19:40:00,Facebook,post number 139 is about something interesting,449,51,13,1054,#news,positive,0.48671726755218214,46,1,19,Sunday,9
141,2024-07-12 14:43:00,Twitter,post number 140 is about something interesting,406,39,45,1052,#life,positive,0.46577946768060835,46,1,14,Friday,7
142,2024-02-17 21:37:00,Instagram,post number 141 is about something interesting,388,88,45,1093,#trend,positive,0.47666971637694416,46,1,21,Saturday,2
143,2024-08-08 10:03:00,Facebook,post number 142 is about something interesting,437,29,24,1124,"#news,#life",neutral,0.4359430604982206,46,2,10,Thursday,8
144,2024-04-14 12:59:00,Facebook,post number 143 is about something interesting,250,50,19,658,"#news,#fun",positive,0.4848024316109423,46,2,12,Sunday,4
145,2024-05-12 13:55:00,Instagram,post number 144 is about something interesting,248,75,22,455,#news,neutral,0.7582417582417582,46,1,13,Sunday,5
146,2024-10-26 09:37:00,Facebook,post number 145 is about something interesting,161,65,43,478,#life,positive,0.5627615062761506,46,1,9,Saturday,10
147,2024-07-22 14:14:00,Facebook,post number 146 is about something interesting,195,97,43,310,"#fun,#life",neutral,1.0806451612903225,46,2,14,Monday,7
148,2024-10-17 00:15:00,Facebook,post number 147 is about something interesting,80,94,27,168,#life,negative,1.1964285714285714,46,1,0,Thursday,10
149,2024-03-21 16:27:00,Instagram,post number 148 is about something interesting,338,72,46,921,#life,positive,0.495114006514658,46,1,16,Thursday,3
150,2024-01-16 11:44:00,Facebook,post number 149 is about something interesting,126,7,9,264,#life,neutral,0.5378787878787878,46,1,11,Tuesday,1
151,2024-02-27 18:11:00,Twitter,post number 150 is about something interesting,303,39,30,684,"#trend,#fun",negative,0.543859649122807,46,2,18,Tuesday,2
152,2024-08-15 21:20:00,Facebook,post number 151 is about something interesting,92,71,32,197,#life,positive,0.9898477157360406,46,1,21,Thursday,8
153,2024-05-27 01:36:00,Twitter,post number 152 is about something interesting,15,18,6,41,"#news,#life",positive,0.9512195121951219,46,2,1,Monday,5
154,2024-10-15 00:00:00,Instagram,post number 153 is about something interesting,153,57,22,376,#trend,negative,0.6170212765957447,46,1,0,Tuesday,10
155,2024-05-22 20:58:00,Facebook,post number 154 is about something interesting,482,78,22,1221,#fun,positive,0.47665847665847666,46,1,20,Wednesday,5
156,2024-09-13 21:38:00,Twitter,post number 155 is about something interesting,90,7,17,186,#life,neutral,0.6129032258064516,46,1,21,Friday,9
157,2024-09-26 22:14:00,Instagram,post number 156 is about something interesting,55,10,7,91,"#news,#trend",neutral,0.7912087912087912,46,2,22,Thursday,9
158,2024-05-16 01:20:00,Facebook,post number 157 is about something interesting,14,39,23,36,#trend,positive,2.111111111111111,46,1,1,Thursday,5
159,2024-01-24 14:32:00,Facebook,post number 158 is about something interesting,136,3,12,273,#life,negative,0.5531135531135531,46,1,14,Wednesday,1
160,2024-02-17 21:36:00,Instagram,post number 159 is about something interesting,163,85,42,467,#fun,negative,0.6209850107066381,46,1,21,Saturday,2
161,2024-06-15 05:53:00,Instagram,post number 160 is about something interesting,234,77,33,563,"#trend,#life",negative,0.61101243339254,46,2,5,Saturday,6
162,2024-08-12 12:25:00,Instagram,post number 161 is about something interesting,439,99,41,906,#trend,positive,0.6390728476821192,46,1,12,Monday,8
163,2024-06-09 22:35:00,Instagram,post number 162 is about something interesting,26,51,36,70,"#trend,#fun",negative,1.6142857142857143,46,2,22,Sunday,6
164,2024-03-15 05:49:00,Twitter,post number 163 is about something interesting,193,16,19,443,#life,positive,0.5146726862302483,46,1,5,Friday,3
165,2024-07-09 22:54:00,Facebook,post number 164 is about something interesting,460,9,9,996,#fun,positive,0.4799196787148594,46,1,22,Tuesday,7
166,2024-12-01 05:50:00,Facebook,post number 165 is about something interesting,361,20,0,730,#fun,negative,0.5219178082191781,46,1,5,Sunday,12
167,2024-02-27 17:52:00,Instagram,post number 166 is about something interesting,171,85,11,339,"#life,#news",positive,0.7876106194690266,46,2,17,Tuesday,2
168,2024-05-15 17:17:00,Facebook,post number 167 is about something interesting,452,79,4,1258,"#fun,#news",negative,0.42527821939586646,46,2,17,Wednesday,5
169,2024-05-13 20:05:00,Twitter,post number 168 is about something interesting,19,27,39,47,#life,positive,1.8085106382978724,46,1,20,Monday,5
170,2024-05-15 03:17:00,Instagram,post number 169 is about something interesting,265,88,12,548,"#life,#news",negative,0.666058394160584,46,2,3,Wednesday,5
171,2024-12-15 14:20:00,Facebook,post number 170 is about something interesting,394,68,13,1017,"#life,#news",negative,0.4670599803343166,46,2,14,Sunday,12
172,2024-07-15 07:56:00,Facebook,post number 171 is about something interesting,401,24,4,1170,"#life,#news",negative,0.36666666666666664,46,2,7,Monday,7
173,2024-01-05 03:56:00,Twitter,post number 172 is about something interesting,349,44,6,699,#trend,neutral,0.5708154506437768,46,1,3,Friday,1
174,2024-06-24 06:01:00,Instagram,post number 173 is about something interesting,29,1,17,45,#fun,neutral,1.0444444444444445,46,1,6,Monday,6
175,2024-04-23 00:58:00,Facebook,post number 174 is about something interesting,449,14,43,1001,#trend,neutral,0.5054945054945055,46,1,0,Tuesday,4
176,2024-01-25 11:17:00,Instagram,post number 175 is about something interesting,474,94,38,1123,#trend,negative,0.5396260017809439,46,1,11,Thursday,1
177,2024-09-16 23:55:00,Facebook,post number 176 is about something interesting,260,67,6,557,"#trend,#life",positive,0.5978456014362658,46,2,23,Monday,9
178,2024-02-07 05:18:00,Twitter,post number 177 is about something interesting,43,51,0,95,"#fun,#trend",negative,0.9894736842105263,46,2,5,Wednesday,2
179,2024-04-06 01:43:00,Twitter,post number 178 is about something interesting,129,8,49,360,"#trend,#news",positive,0.5166666666666667,46,2,1,Saturday,4
180,2024-12-25 22:07:00,Facebook,post number 179 is about something interesting,236,0,11,441,#trend,positive,0.5600907029478458,46,1,22,Wednesday,12
181,2024-11-17 10:48:00,Instagram,post number 180 is about something interesting,270,5,37,624,"#fun,#news",positive,0.5,46,2,10,Sunday,11
182,2024-03-07 05:25:00,Facebook,post number 181 is about something interesting,71,73,13,196,"#life,#trend",positive,0.8010204081632653,46,2,5,Thursday,3
183,2024-07-21 17:09:00,Facebook,post number 182 is about something interesting,205,3,28,313,"#life,#trend",neutral,0.7539936102236422,46,2,17,Sunday,7
184,2024-08-04 15:10:00,Twitter,post number 183 is about something interesting,249,9,8,390,#news,neutral,0.6820512820512821,46,1,15,Sunday,8
185,2024-07-01 11:46:00,Twitter,post number 184 is about something interesting,420,83,22,678,#fun,negative,0.7743362831858407,46,1,11,Monday,7
186,2024-06-08 01:00:00,Facebook,post number 185 is about something interesting,380,18,26,659,#news,neutral,0.6433990895295902,46,1,1,Saturday,6
187,2024-09-06 07:19:00,Twitter,post number 186 is about something interesting,165,78,40,309,"#trend,#fun",negative,0.9158576051779935,46,2,7,Friday,9
188,2024-07-21 10:58:00,Instagram,post number 187 is about something interesting,140,72,46,238,#news,positive,1.084033613445378,46,1,10,Sunday,7
189,2024-10-31 04:13:00,Twitter,post number 188 is about something interesting,183,60,12,468,"#life,#fun",positive,0.5448717948717948,46,2,4,Thursday,10
190,2024-05-23 20:45:00,Facebook,post number 189 is about something interesting,280,27,4,698,#trend,negative,0.4455587392550143,46,1,20,Thursday,5
191,2024-08-08 05:26:00,Instagram,post number 190 is about something interesting,359,0,27,808,"#life,#fun",positive,0.4777227722772277,46,2,5,Thursday,8
192,2024-07-28 11:25:00,Facebook,post number 191 is about something interesting,423,23,37,978,"#trend,#news",neutral,0.4938650306748466,46,2,11,Sunday,7
193,2024-03-15 09:11:00,Facebook,post number 192 is about something interesting,398,92,2,1013,#news,negative,0.4856860809476802,46,1,9,Friday,3
194,2024-03-08 00:54:00,Twitter,post number 193 is about something interesting,0,44,32,1,#news,neutral,76.0,46,1,0,Friday,3
195,2024-06-06 19:41:00,Twitter,post number 194 is about something interesting,88,83,36,211,#trend,neutral,0.981042654028436,46,1,19,Thursday,6
